,UserID,NewRating,OldRating,User,ReviewDate,Review,ReviewHelpful
10,11,3.0,6.0,Airman87,2023-06-15,"Elemental never really stretches beyond the straightforwardness and banality of its love story - that in a melting pot where desires to maintain our individual ancestral identity paramount all, boundaries and traditions were meant for breaking. In the typical overdone relationship dynamic, Ember plays the more rebellious individual while Wade is the more averse, introverted individual. The magic of Elemental lays in the fictitious world it has created for itself. The canvas painted by the animators is nothing short of some of Pixar's best work, steeped in rich visuals, textures, and blithesome neighborhoods. There is lots of curiosity-peaking interest in this universe worth exploring, unfortunately the film and story just never decides to fully take its viewers there...",22
11,12,3.0,5.0,selmataco,2023-06-18,"I don't think anyone in the review mentioned this, but as an Asian, I see this as clearly an immigrant family trying to blend in with a big city and struggle with their own heritage and identity.The way that the differences between elements are mostly revealed in conflicts or flash backs full of agressive, discriminated dialogues ""go back to your fireland"" that in many levels sound very unpleasantly familiar (u know exactly what I mean).The problems are not resolved, and most disappointingly, the character's development is cliche rom-com jinxes with each other and giggles that just does nothing to the story other than making me cringe. What gets me more concerned is the portrait of the fire people's conservativeness and constrains applied to their offerings. What's the point of rephrasing a real-life issue, not elevating or solving them but just apply a cartoon filter to it?The style and the city reminds me of Zootopia, which did a much better job in connecting the characters on a deeper level through mysterious events. Unlike Zootopia, their is no underlying message or lesson learned, or mystery solved, or any reflection that resonate with the audience.Not recommended. Never missed any Pixar film, and this one is the most disappointing one I've ever seen.",13
12,13,4.0,8.0,Ibrahimrealibrahim,2023-06-15,Elemental is Pixar's latest film starring Leah Lewis as Ember and Mamoudou Athie as Wade. I walked into the movie with low expectations and complete disappointment and walked out actually crying. Elemental delivers an impressive conclusion and I'm glad they took a different turn and switch stuff around with this one. Not to spoil anything but this movie is creative like really creative and fun to watch I was really impressed. The chemistry between Ember and Wade felt rushed but I can't believe it actually worked at the end. I laughed I cried I enjoyed this movie and this is what matters. Down for a rewatch.,28
13,14,5.0,9.0,tytebben,2023-06-21,No comment,6
14,15,5.0,9.0,xeffy,2023-06-09,"""Elemental"" takes you on an incredible journey through a bustling city where people of different elemental backgrounds live side by side. Ember and Wade truly embody the film's central message: that we're more alike than we realize. As Ember, a fiery young woman, and Wade, a laid-back guy, discover their shared humanity, the movie beautifully explores themes of unity, understanding, and the incredible power of connection.The world-building in ""Elemental"" is absolutely stunning. The city itself is a visual feast, with each element having its own distinct architecture and style. From skyscrapers covered in lush greenery to water slides and wind-powered homes, every detail immerses you in this vibrant and enchanting world.The film's portrayal of how the elements interact is both amusing and touching. Whether it's a water-being's sneeze causing grass to sprout or Ember's intense heat affecting others around her, these moments showcase the intricate relationships between the elemental residents. They provide a delightful blend of entertainment and insight into the film's underlying plot.While the hint of romance between Ember and Wade adds an extra layer of intrigue, ""Elemental"" is so much more than just a love story. It delves deep into Ember's personal journey as she navigates the city and tries to form meaningful connections. The character development is strong, and you can't help but cheer for Ember and Wade as they face their challenges and strive to make a positive impact on their community.With its breathtaking visuals, compelling storyline, and heartfelt message, ""Elemental"" is a true cinematic gem. This film will captivate you, make you reflect, and leave you inspired. It's a must-watch. Prepare yourself for a captivating story that reminds us of the incredible strength found in unity and the beauty of finding common ground in a diverse world.",47
15,16,1.0,2.0,zaneandcat,2023-06-18,"So many sexual innuendos. A love story for kids??""Now we have more time for Hanky Panky"".. says the adult dad. Why is this in a kids movie. This is a RomeoJuliet kinda movie which would be fine but a PG movie for kids?? Come on...Adults it's adorable. Kids? For really?I'd rate this a 1010 if it wasn't a kids movie.PixarDisney needs to go back to just making silly kids movies. Why should I have to go prescreen a movie before my Godkids.. just crazy.The concept and many things are cute, why was the kissing scene too long, it was so magnified and long. Practically making out. I don't get it.",29
16,17,4.0,7.0,TomTalksFilms,2023-06-20,"Today I checked out odeons screen unseen for the first time and it turned out to be Elemental due for release over here in the UK two weeks on Friday.I had completely forgotten that Pixar often shows shorts before their new cinema releases and this time I was pleasantly surprised as it was Carls first date. The short film is a must see follow up to the film UP! As we follow Carl who with the help from his dog Dug gets ready for his first date since the passing of his wife Ellie. I won't say much more other than Elemental is worth watching just to see this short on the big screen alone.In a world where people seem to be getting further and further apart wether that's because of race, culture, sexuality etc Elemental tries to teach us that we should embrace our differences in order to not just learn but also to improve the world around us and ourselves.This film is the 27th Pixar feature film and is essentially a coming of age story that follows fire Element Ember as she moves with her family from fire city to Element City. Her family set up a shop and from a young age she has been working towards taking over the shop when she is old enough, that is until she meets Wade (who's a water element) when one of the pipes in the shop bursts. What follows is a Romantic adventure about growing up and taking steps into the adult world even if it means stepping outside of your comfort soon. The films plot is really a pretty generic coming of age story that we've seen time and time again however it's executed with that vibrant, colourful and funny Pixar flare and I just thought the film was beautiful and heart warming in a time where there's so much hatred around. I've seen that this film is getting a lot of hate and I don't understand why, for me it's one of the better recent Pixar films and one that I think will stick with me for a while. If I had any criticisms about this film then it would probably be that it builds up a big world when actually the story is quite small and a lot of the world doesn't really get explored but perhaps they can expand into the world more if the film gets sequels which I have to say I hope it does.Finally, I just want to add that there's a broken dam in this film and I don't know if I'm right in saying this but I do wonder if wether the dam is broken or fixed is a metaphor for where the two main characters relationship is at in any given point of the film? 🤔",4
17,18,1.0,1.0,Chase-Smith,2023-06-08,"Elemental is a very cliche plot of two worlds that love each other but family doesn't. Something we have seen since the 1400's. There is really no reason to go see this film as it has lame characters, bland dialogue, unfunny jokes. And it's just really boring. And just like lightyear, this movie hold nothing to make you care or remember the film. Honestly there really isn't much to say about this film, other than it's proven to see how far pixar has fallen over the years. And it's sad when not 1, not 2, but 3 of there past films have been critical failures. If this isn't a slap in the face and a huge punch to the gut. To get your stuff together and turn this train wreck around.",13
18,19,5.0,10.0,GusherPop,2023-06-15,"Pixar's recent movies have struggled to capture audiences, with previous non-sequels like ""Soul,"" ""Luca,"" and ""Turning Red"" resembling yesteryear, but launching directly to Disney+. The last real hit was 2019's ""Toy Story 4."" Fans will appreciate the ""Carl's Date"" short, ""Elemental,"" which combines fire and water, creating a successful film, and is Pixar's and Disney's best film since zootopia. ""Elemental"" is a rom-com with nonstop puns and on-the-nose aspects, but it still has a winning sweetness. The film's chemistry between Ember and Wade is corny, but it still works well, despite the corny moments. The film's rom-com elements, such as hot air balloon rides and authentic fire food, add to its overall appeal. ""Elemental"" has the wondrous aesthetic imagination of modern Pixar classics like ""Finding Nemo"" and ""Wall-E."" However, composer Thomas Newman's score offers a more comprehensive vision of cross-cultural exchange than the film's muddled depiction of immigrant communities. While combustible from the moment, it makes a from memory after leaving the theater. Lewis portrays Ember with a playful warmth, complementing Athie's bubbling affability in Wade. The element element in ""Elemental"" is overly complicated and confusing, focusing on nothing children know about the natural world. The film's brisk pace and extensive exposition make it difficult to fit essential backstory into the final reel. Sohn should have made the plot simpler and focused on sincerity, as Pixar's sincerity is essential. The over-complicated premise creates confusing rules for children to learn, which do apply outside the film. The animation of Ember's body and Wade's fluid, transparent body is exciting, emphasizing malleability and abstraction. However, the film's promise of color, form, and movement is hemmed in by unimaginative storytelling. Only standout sequences, such as an underwater garden and hand-drawn animation, separate ""Elemental"" from other Pixar films. The characters are phosphorescent blobs traveling through realistically animated cityscapes, and the film never goes anywhere unexpected. The film follows Ember and Wade, two opposites who initially form a close bond but eventually separate due to a misunderstanding. However, their relationship becomes the film's center, a respite from the mixed metaphors and conceptual mechanics that often threaten the story's inner reality. The plot's frantic chain reaction keeps them together, providing a slight but endearing center. The film explores the mystery of what will happen if Ember and Wade touch a mysterious mystery in a city with ceramic and terracotta glass structures.",15
19,20,4.0,7.0,kevin_robbins,2023-06-16,"Elemental (2023) is a movie that my wife and I saw in theatres last night. The storyline follows a city where multiple elements live, but the fire element is kept in their own area of town to keep them from harming others. They do their best to keep to themselves, and they prefer it that way, but sometimes the other world crashes into theirs. A family who moved to the city and started their own store is about to leave the store to their daughter, who is constantly trying to prove herself. As she is about to take over the shop she makes a mistake leading to her cellar being flooded with water. The young lady will need to work with water to save her store and prove she's ready to run the shop for her dad.This movie is directed by Peter Sohn (The Good Dinosaur) and contains the voices of Leah Lewis (The Half of It), Mamoudou Athie (Uncorked), Wendi McLendon-Covey (Bridesmaids), Ronnie Del Carmen (Inside Out) and Catherine O'Hara (Best in Show).The storyline for this was very entertaining and unique. The animation was outstanding and I loved the city. Disney did a great job capturing the imagination of the unique society, it kind of reminded me of Zootopia. The characters are easy to root for and tug at your heart strings, as wanting to make your parents happy is very relatable. There's also some great comedy mixed in here and there, especially the niece and nephew. The circumstances were a lot of fun and the ending was rewarding.Overall, this is a fun addition to the DisneyPixar universe that is worth a viewing. I would score this a 7-7.510 and strongly recommend it.",9
20,21,3.0,5.0,psychhelp,2023-06-18,"It's a story about a hothead and empath. Then a lot of racial content that is not intently pursued to make it look like casual, but the repetitive nature of it and stereotypes used says enough about it. However, I am giving a 5 star for the Pixar magic, how they were able to show fire and water is compatible, and for showing how Avatar: The Way of Water would look like if it was animated by Pixar through the visiting the Wisteria flower scene. At best, this is a spin-off of Inside Out (understand what your emotions are telling you and be who you are) presented in a different format. For an unknown reason, after thinking about the film, it makes me want to watch The Last Airbender movie once more, maybe just to compare mental notes.",8
21,22,4.0,7.0,JohnDeSando,2023-06-18,"Shakespeare needn't worry that Pixar's Elemental will replace Romeo and Juliet as the #1 love story of all time. However, this colorful animation has a right to be considered one of its kind in its thematic emphasis on opposites attracting and our seeking our own way rather than fulfilling someone else's dreams. Perhaps more of a dominant theme is the immigrant experience that shows the challenges of assimilation. Director Peter Sohn speaks of his Korean parents' experience as the inspiration.The linchpin of this typical Pixar piece is a world where the elements of earth, air, fire, and water peacefully co-exist if, for instance, the last two don't mix. When water denizen Wade Ripple (voice of Mamoudou Athie) falls for fire Ember (Leah Lewis), and she eventually succumbs, the incompatible worlds collide. The multiple metaphors and ingenious twists for each element, e.g., fire family business is called ""the Firehouse,"" are a tribute to the imagination of Sohn and his creative crew.The subtheme of parents' expectations is almost as strong as the love theme. Ember's dad expects her to take over his shop while she is reluctant to say she doesn't want to. Her budding romance almost busts because of this conflict. Elements does a credible job of showing how difficult it is for loving children not to fulfill the dreams of doting parents. What is not lost is the need for us to govern our own futures and not cave to the demands of others.Unlike other current movie dramas, especially animations like Spider-Man, Elements moves in a linear war with a plot that makes sense, even if it is predictable. Smaller children at my screening were restless, leading me to question if they should be 10 and beyond to appreciate the several themes; less than ten for a while will be distracted by the intricate city and explosive color.In the end it is still Pixar, a gifted Disney enterprise that never forgets it's all about the people.",3
22,23,4.0,8.0,MrDHWong,2023-06-16,"""Elemental"" is the 27th CGI animated feature film from Disney Pixar. Directed by Peter Sohn (""The Good Dinosaur"") and featuring the voices of Leah Lewis and Mamoudou Athie, it plays things relatively straight-forward in a nice little love story complimented by the usual fantastic visuals from the studio.In Elemental City, fire element immigrants Bernie (voiced by Robbie del Carmen) and Cinder Lumen (voiced by Shila Omni) run a convenience store where they face frequent discrimination from all the other local elements. The couple's young daughter Ember (voiced by Leah Lewis) dreams of one day running the store after her father retires, but has a difficult time controlling her temper. While dealing with multiple customers one morning, Ember quickly becomes overwhelmed and retreats into the basement to vent her frustrations, resulting in her accidentally breaking the water pipes. The ensuing flooding then causes the appearance of Wade Ripple (voiced by Mamoudou Athie), a water elemental health inspector who threatens to close the store down due to the insufficient plumbing. After some disagreements, both Ember and Wade start to realise that in spite of their contrasting elemental types, they may not be so different from each other as their society would have them believe.Pixar have had a long tradition of making films that personify things that wouldn't normally have a voice to begin with and turning it into something highly relatable. For instance, ""Toy Story"" made us believe that inanimate toys were capable of fearing the inevitability of being replaced while ""Inside Out"" helped us realise that our emotions and subsequent responses shape our outlook on life based on the lessons we learn from them. Because of this approach, Pixar films have been able to cross boundaries to appeal to virtually everybody, which is what I believe to be one of the key reasons why they still reign supreme today. In the studio's latest film ""Elemental"", we are shown a world where the elements are segregated by their opposing types told through the plot of a forbidden romance.From the perspective of the fire elemental Lumen family, we see that their kind are treated with notable hostility in comparison to every other elemental type. Due to fire's tendency to burn and destroy, whether intentional or not, the water, earth, and wind elements all live in fear of what they are capable of, and as a result, are reluctant to allow them to mingle with the rest of the city's population. This film's overarching theme of xenophobia and racial prejudice makes for an interesting look at how people in the real world may view immigrants from another country. Though I appreciate the filmmakers for tackling such a serious subject matter in a way that all ages can understand, something like this has already been done before in another non-Pixar animated film. The 2016 film ""Zootopia"" also dealt with themes of cultural differences in a more appealing way, whereas here it is used as a mere backdrop for setting up Ember and Wade's love affair. While I wouldn't necessarily call this is a bad thing, it doesn't really feel fresh or new.At this point, it seems redundant to once again praise Pixar for the quality of their animation but every time I watch their latest movie, I still end up being blown away. I loved how beautiful and colourful the Elemental City looked, a place where anthropomorphic elements live and work. The attention-to-detail on the atmosphere is superb, which really helps make the city look like it has been lived in for a long time. We are treated to some creatively built apartment blocks that house the water elements and an aerial basketball stadium where wind elements slam dunk a ball using air currents. All of the world building is handled very nicely, but what stood out to me was how it is shown that fire elements are not welcome in almost every building. Signs saying ""No Fire"" are placed outside large venues and water security guards patrol residential areas in hopes that the occupants can live safely. The juxtaposition of this great big city in a prejudice-based society reminded me of how it was during Apartheid era South Africa and pre-civil rights America. These parallels are a rather bleak addition to the film's plot, but it feels like it is only half addressed in favour of the romance between the two main characters. Then again, there is only so much you can divulge about bigotry in a family film before you alienate the younger demographic too much.I also really liked both of the lead characters, with Leah Lewis injecting the essential amount of energy into her performance as Ember. What I enjoyed about Ember was her vulnerability, in that while she is talented at what she does, it is her insecurities that are holding her back from greatness. After seeing both of her parents treated intolerably by the other elemental types, Ember believes she is doomed to the same fate as them, viewed as an object of ridicule by those who don't understand her culture. Her feelings of inadequacy manifest in the form of her explosive temperament, something that does nothing but exacerbate her family's inability to be accepted by others. Nonetheless, her fiery personality also includes a level of boldness to her character, in that she is not afraid to speak up for what she believes in.In stark contrast to Ember, we see the total opposite in Wade, who is easily reduced to tears over even the most minor of issues. Mamoudou Athie plays into Wade's vulnerability differently to Ember's, in that his emotional interactions with those around him are simply a product of what it is like to be a water element. It is established that Wade's other family members become sentimental at the drop of a hat as well, which is shown prominently when he plays a party game that involves making somebody cry within a set amount of time. Wade's patient, sympathetic view of those around him is a nice counter to Ember's anxious, feisty nature, making their relationship so much more believable. Though the eventual outcome is pretty predictable, I still enjoyed watching how close Ember and Wade grew throughout the film.For the longtime Pixar fan, ""Elemental"" may not rank among the studio's all time best but it still has plenty to enjoy regardless of how you approach it. You can appreciate it simply on the merits of its great animation or for its social commentary on cultural divide. Although it doesn't really say anything that hasn't been said before, it at least finds a way to say it in a manner that only Pixar films could, and that definitely counts for something. I can only imagine what Pixar will personify next, but I'm certain they'll find something worthwhile and make it work.I rate it 810.",11
23,24,4.0,7.0,IonicBreezeMachine,2023-06-20,"In a world where beings of fire, water, air, and earth exist, Ember Lumen (Leah Lewis) is a first generation fire elemental and daughter of immigrants Bernie and Cinder (Ronnie del Carmen and Shila Ommi respectively) who emigrated to Element City facing prejudice and systemic segregation to start a bodega, called The Fireplace, that is the unofficial hub of Firetown which Bernie hopes Ember will someday inherit. Ember routinely struggles to keep her temper with customers and during one such episode inadvertently damages an old water pipe which pulls in city inspector Wade Ripple (Mamoudou Athie) from the other side of town and must reluctantly issue several citations on the bodega. After learning of Ember's struggles with trying to takeover The Fireplace from her ailing father, Wade feeling guilty over it tries to help Ember save The Fireplace as well as find out why there is water still running through Firetown when it shouldn't and eventually a romance blooms in spite of the historic incompatibility with fire and water.Elemental is the latest film from Pixar and comes to us from director Peter Sohn who based the initial idea off his immigrant parents and based the underlying concept around the relationship between fire and water. The film was primarily based off of the structure of romantic comedies and dramas such as Guess Who's Coming to Dinner?, My Big Fat Greek Wedding, and The Big Sick while also building those ideas around the core elemental one. In terms of execution Elemental does have some of the same issues of Sohn's The Good Dinosaur, but it is a nice light romance with a solid presentation of its core themes.I'll start off by saying the opening scenes where we establish Element City and the characters of Bernie and Cinder are really good as we see them rejected by several prospective renters as despite Element City's history of welcoming immigrants as per the murals on the harbor, the fire elementals being the newest entrants to society are very much treated with hostility and prejudice. This sequence continues onward with the Lumen's eventually buying a neglected building an refurbishing it as their bodega and overtime it becoming the central point of Firetown. The animation used to bring the elementals and their world to life is nicely done as there's a lot of great details in the textures and movements of the characters with the distortions of water and the movement of fire and while on occasion the world building can seem a little spotty and doesn't feel as fully realized as Zootopia's, it does a good job of addressing systemic racism in communities. Leah Lewis and Mamoudou Athie are both really solid as Ember and Wade and their interactions with each other are complemented with some cute moments and amusing exchanges. I also rather liked the relationship with Ember and her father Bernie played by Ronnie del Carmen that while sweet does a good job of setting up the wedge issue.While I think Elemental has good pieces in place, I did feel like some parts of the film felt underdeveloped especially in regards to a leak in Firetown responsible for the water seeping in that doesn't feel all that interesting and I felt like from a world building perspective it opened up some questions that the movie didn't really address. While Elemental has no villain in it, this is the kind of plot point that feels like it could've used a villain be it an unscrupulous developer or a construction firm rigging bids to add that little extra ""something"" that's missing from this plot point because it's a pretty big one and its not all that fleshed out.I liked Elemental for the things that did genuinely work even if it stands in the shadows of others who've covered similar material. I think this is a much better project from Peter Sohn in comparison to The Good Dinosaur even if like that film there are still some flubs in the presentation of the central idea even if not to the extent The Good Dinosaur had them. But contrary to what people have said, this is not one of Pixar's worst movies especially when you consider the Cars trilogy and Lightyear exist.",4
24,25,5.0,10.0,francborre,2023-06-14,"Highly recommended film for children.This animated film is very cute and for the whole family. The story is well structured and the characters are well developed. The music is cute, the animations are high quality, of course the CGI is also high quality, the character design is cute.The film is pleasant to see, I recommend seeing it with the whole family, it's not a heavy film and it flows well. It also has some basic subjects dealt with intelligently, without going overboard. It's not the movie of the year, but it's definitely a cute movie that kids will enjoy, for sure. Very cute, take the kids to see it.",32
25,26,5.0,10.0,PrNycTina1091,2023-06-11,"I caught a screening of this film at the Tribeca Film Festival and it was so stunning and beautiful - the visuals and the story. It's an adorable, heartfelt family film about the immigrant experience told in a way kids can understand, an animated romantic comedy anyone can enjoy.It's a unique take on a love story as old as time - 2 people from 2 very different worlds meet and suddenly everything changes. They start to see the world from a new perspective, learn about and fall in love with a culture they had never known before. Wade and Ember represent so many people who live in diverse places and are immersed in different cultures.I'm from a mixed family and I grew up in NYC so this film touched my heart in ways I can't adequately articulate. I don't think I've ever seen this kind of story told in a way children can understand - sometimes when 2 people who live in a place where people come from all over the world, you meet someone you never would have met before and you fall in love.I hope people take the time to watch this movie and I can't wait to see what Peter Sohn works on next.",46
26,27,5.0,10.0,benlehrer-80923,2023-06-20,"Elemental was a true return to form for Pixar. Everything in it was so beautifully designed, and the story was incredible! Each character was very well fleshed out, even the side characters like the cloud's romance and Wades little sister. The artwork was leaps ahead of other studios, making element city a place you actually feel you could live. The story of a young person finding themself outside of the family business has been done before, but not in such an imaginative way, and not with these unique characters. I honestly can't remember an animated movie making me feel this way since Inside Out. Please, support this movie! Go see it in theaters, I certainly will be again.",2
27,28,4.0,8.0,rannynm,2023-06-15,"Elemental is a beautiful animated film that fills the screen with color and excitement and is a great viewing experience for audiences of all ages. The animation is definitely the highlight of the film; the plot leaves a little to be desired.Elemental tells the story of Ember Lumen (Leah Lewis), a fire element who lives in the Element City, where water, land, fire and air residents live together. Ember lives in the fire neighborhood and hopes to take over her dad's fire shop, but her anger issues and inability to control her temper is standing in her way. One day, Ember meets Wade (Mamoudou Athie), a water element who tries to shut down her dad's business. After convincing Wade by explaining what the business means to her family, Wade tries to help her; only it's too late since the paperwork has already been sent to his boss. Wade and Ember must work together to save her dad's business, and along the way, they discover more than they ever knew was possible.Elemental is a beautiful film to watch. The animated creation of Elemental is incredible; every scene is filled with vibrant colors. I love all the elements that they incorporate into the city's design, especially with the multi-cultural neighborhoods like those that you would find in an actual city. The character animation is also great, especially with Ember; it is fascinating to see her flames become brighter and change shape depending on the weather. My favorite scene of the movie is the one underwater, as those visuals are the best in the film. However, the plot leaves a little to be desired. There are a lot of conflicts that are fixed quickly, so none of them feel that significant. Although I love Wade and Ember together, it is a little confusing since it is shown multiple times that water and fire shouldn't touch, so it feels counterintuitive to what is being stated in the film. Gale Cumulus (Wendi McLendon-Covey) is very funny and I loved watching her and wanted more. Also, Clod (Mason Wertheimer) is absolutely adorable; it was nice watching other elements to see how they operate, not just fire and water. My favorite relationship in the film is between Ember and her father (Ronnie del Carmen) -- it was heartwarming to see the respect the two have for each other and the love they share.Elemental conveys the message of family, respect and loving others. It also has underlying messages of not discriminating against others, which is important in a world where some people are not always treated fairly.I give Elemental 4 out of 5 stars and recommend it for ages 5 to 12, plus adults. It releases in theaters on June 16, 2023. By Emma D., KIDS FIRST!",8
28,29,4.0,7.0,stevendbeard,2023-06-19,No comment,3
